0,run,val_CIDEr,test_CIDEr,val_BLEU_4,test_BLEU_4,best_model_from,epoch,train_loss,val_BLEU_1,val_BLEU_2,val_BLEU_3,val_METEOR,val_ROUGE_L,test_BLEU_1,test_BLEU_2,test_BLEU_3,test_METEOR,test_ROUGE_L,time
resultsfrozentranswithcls,Baseline R2Gen frozen feature encoder,0.236748526042392,0.570534507442355,0.088872918296413,0.132228370326321,test,41,0.284482376392071,0.326295596588005,0.190285699203598,0.126253378936498,0.132286167383998,0.286472611032273,0.365258385221016,0.231340767825562,0.169115772265387,0.153511359516505,0.318533470897411,Fri Sep  2 10:58:45 2022
resultsfrozentranswithcls,Baseline R2Gen frozen feature encoder 10,0.276804750087368,0.578414151698674,0.119299186026859,0.153145686719238,test,42,0.279340570362715,0.393396821984567,0.244429126602942,0.165947626796718,0.160905955659775,0.327314964576626,0.435581904148581,0.278743876206382,0.199474402011481,0.177890258048654,0.352499558692158,Fri Sep  9 07:09:50 2022
resultsfrozentranswithcls,Baseline R2Gen frozen feature encoder 2,0.422151629947103,0.553723298641425,0.116797544497207,0.151031584077497,test,95,0.202595710066649,0.387274573645691,0.233453222199846,0.160095803673421,0.156614813351529,0.319042477847576,0.421421634561224,0.269283320489206,0.195481541022142,0.174394431823199,0.348955270498386,Wed Sep  7 12:12:46 2022
resultsfrozentranswithcls,Baseline R2Gen frozen feature encoder 4,0.300034873983644,0.623156367069252,0.107256600853257,0.15365580888806,test,68,0.209381776933487,0.372620472767388,0.222147772779321,0.149671053502836,0.150314840820344,0.306750356810305,0.41507346680371,0.265614529531034,0.195364614514925,0.171422205823592,0.348939588288569,Fri Sep  9 05:26:10 2022
resultsfrozentranswithcls,Baseline R2Gen frozen feature encoder 6,0.403926808083128,0.623352349017122,0.106852272596887,0.150900811303646,test,58,0.216584218121492,0.36420049497129,0.21629656837822,0.146801005755134,0.147421980832332,0.31441232880765,0.407860972827114,0.261603456763474,0.192586574555566,0.168364013378535,0.339599997299968,Fri Sep  9 06:58:24 2022
resultsfrozentranswithcls,Baseline R2Gen frozen feature encoder 8,0.477563488583078,0.610620597779526,0.12601428030711,0.156195750516574,test,33,0.34539183653318,0.392412772683639,0.239354090847971,0.167593551732752,0.153736035926781,0.330223584999291,0.428991443256709,0.272839393631643,0.200002892143851,0.172882207039456,0.354278724194481,Fri Sep  9 06:58:28 2022
resultsfrozentranswithcls,Baseline R2Gen frozen feature encoder and randomly initialised weights,0.33947807079569,0.566095332201616,0.117501698890541,0.16377454133371,test,43,0.279794991474885,0.406110442551869,0.241719814146013,0.16361102176983,0.152563547778866,0.321351690781765,0.448754524844373,0.285778662133157,0.209842483701699,0.175787995355153,0.348570388484312,Mon Sep  5 18:21:21 2022
resultsfrozentranswithcls,"Baseline R2Gen frozen feature encoder, no pretraining 2",0.265527886659114,0.625958954435521,0.098163350144058,0.147594366229813,test,54,0.235889676786386,0.391307358238746,0.215968282754244,0.140015829626662,0.145709179756073,0.305175495000034,0.438147613676295,0.266019634720125,0.191102912837613,0.16963328669725,0.341794826689818,Tue Sep  6 17:11:26 2022
resultsfrozentranswithcls,Baseline R2Gen no pretraining,0.383443159101508,0.576121954332037,0.121232363997382,0.154912399490813,test,35,0.30838490816263,0.40730185481178,0.242246652719121,0.166065123494965,0.158557135473957,0.319116007846137,0.451361357679072,0.280824825310262,0.202768488533808,0.180144640506329,0.351580660365966,Tue Sep  6 22:33:29 2022
resultsfrozentranswithcls,Baseline R2Gen no pretraining 10,0.408204171123242,0.556195617076325,0.132925185045046,0.159853488603522,test,31,0.325610159222896,0.42394001028043,0.260234826655761,0.180461767450576,0.15940076260689,0.334683373719103,0.463199822211193,0.290253672520914,0.208587156136022,0.178317368633629,0.353400429310983,Thu Sep  8 20:37:03 2022
resultsfrozentranswithcls,Baseline R2Gen no pretraining 4,0.398805746716382,0.637119866475473,0.128415704214636,0.169724251640298,test,31,0.342184783174441,0.422546217400231,0.253537597076763,0.174825277323607,0.166785967417281,0.33249998935428,0.470874118159799,0.299005927395716,0.218967980508576,0.190945240987235,0.365990988757695,Thu Sep  8 18:48:12 2022
resultsfrozentranswithcls,Baseline R2Gen no pretraining 6,0.449330649627567,0.56038588822536,0.122611271747892,0.155923568048985,test,24,0.49908532339793,0.399492758839606,0.241900356940189,0.167132422013186,0.16120509477213,0.33794316184188,0.441838968832183,0.280208039698529,0.20351582642508,0.182283440358141,0.359477852356028,Thu Sep  8 19:47:17 2022
resultsfrozentranswithcls,Baseline R2Gen no pretraining 8,0.358729752126118,0.58367750769624,0.106906239896829,0.149498827536995,test,15,0.93972369157351,0.396575284571412,0.228203271289881,0.150987833212813,0.154788073757329,0.323273860572414,0.437686126779201,0.270025968175163,0.193405674859096,0.174709993358712,0.349058468802989,Thu Sep  8 20:23:39 2022
resultsfrozentranswithcls,Baseline R2Gen with learning,0.23030386874547,0.623857997032962,0.094097787576831,0.144944236645894,test,13,1.01775246491799,0.360278484174396,0.207881413765533,0.134460139044477,0.144233951777316,0.304758438957603,0.415664518177771,0.261659029018135,0.188215983752292,0.170231078790671,0.344770034087472,Mon Sep  5 22:51:02 2022
resultsfrozentranswithcls,Baseline R2Gen with learning 10,0.434945682295412,0.6206544645738,0.10552983148853,0.131874178248099,test,13,1.108752650481,0.317491181936912,0.196046869571572,0.13912071289473,0.138158376331538,0.323036489438002,0.359478035365506,0.229676120533937,0.168353309193873,0.157355381760724,0.345175831601058,Fri Sep  9 01:33:05 2022
